RESPONSE,INPUT
0.52,0.012272
0.93074,0.0031613
0.24037,0.0003321
0.67231,0.00024478
0.811,0.00091006
0.56506,0.00045936
0.90487,1.8239e-07
0.31677,0.00034995
0.79681,0.00045887
0.59625,7.3844e-05
0.88595,8.2094e-05
0.37191,0.00034366
0.86001,0.00019037
0.44323,3.4258e-07
0.90809,0.00018199
0.30731,0.00024539
0.78358,3.8865e-05
0.6241,5.1903e-05
0.8633,0.00021283
0.43449,0.0001175
0.90433,5.0345e-07
0.31838,0.00012492
0.79872,0.00016645
0.59185,2.5061e-05
0.88903,3.923e-05
0.36307,0.0001546
0.85111,8.3553e-05
0.4664,6.6425e-07
0.91595,9.6153e-05
0.28341,NaN
